Bench mbasis, FFT prime p = 882705526964617217, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
2	1	2	0.00000357	0.00000317	0.00000329	0.00000320
2	1	4	0.00000647	0.00000600	0.00000593	0.00000622
2	1	8	0.00001340	0.00001306	0.00001214	0.00001377
2	1	16	0.00003192	0.00003314	0.00002826	0.00003575
2	1	32	0.00008355	0.00009378	0.00007152	0.00010242
2	1	64	0.00024833	0.00029468	0.00020531	0.00033229
2	1	128	0.00083215	0.00103476	0.00066590	0.00117577
4	1	2	0.00000575	0.00000504	0.00000537	0.00000510
4	1	4	0.00000955	0.00000883	0.00000888	0.00000908
4	1	8	0.00001850	0.00001871	0.00001711	0.00001937
4	1	16	0.00004041	0.00004589	0.00003741	0.00004838
4	1	32	0.00010100	0.00013090	0.00009292	0.00013863
4	1	64	0.00028933	0.00042543	0.00025949	0.00044994
4	1	128	0.00091700	0.00149258	0.00081907	0.00160393
4	2	2	0.00000656	0.00000565	0.00000610	0.00000574
4	2	4	0.00001201	0.00001076	0.00001162	0.00001127
4	2	8	0.00002492	0.00002355	0.00002283	0.00002504
4	2	16	0.00005916	0.00005861	0.00005288	0.00006453
4	2	32	0.00016001	0.00016771	0.00013798	0.00018904
4	2	64	0.00050013	0.00054782	0.00041612	0.00062950
4	2	128	0.00171044	0.00194829	0.00136516	0.00227037
4	3	2	0.00000763	0.00000662	0.00000718	0.00000677
4	3	4	0.00001478	0.00001257	0.00001361	0.00001330
4	3	8	0.00003210	0.00002725	0.00002872	0.00003011
4	3	16	0.00007923	0.00006596	0.00006748	0.00007707
4	3	32	0.00022267	0.00018217	0.00017869	0.00022425
4	3	64	0.00072161	0.00059570	0.00054127	0.00074017
4	3	128	0.00254655	0.00200102	0.00181538	0.00265046
8	1	2	0.00001306	0.00001151	0.00001246	0.00001158
8	1	4	0.00002142	0.00001984	0.00002051	0.00001995
8	1	8	0.00003807	0.00003848	0.00003619	0.00003907
8	1	16	0.00008019	0.00009311	0.00007683	0.00009581
8	1	32	0.00019295	0.00026157	0.00018503	0.00026787
8	1	64	0.00053560	0.00084234	0.00051277	0.00086494
8	1	128	0.00166384	0.00298248	0.00161661	0.00305536
8	2	2	0.00001408	0.00001216	0.00001338	0.00001228
8	2	4	0.00002391	0.00002202	0.00002288	0.00002190
8	2	8	0.00004740	0.00004755	0.00004437	0.00004863
8	2	16	0.00010945	0.00012235	0.00011011	0.00012760
8	2	32	0.00029070	0.00036341	0.00026561	0.00038076
8	2	64	0.00088174	0.00122980	0.00079852	0.00129448
8	2	128	0.00302121	0.00442095	0.00268368	0.00469154
8	3	2	0.00001520	0.00001279	0.00001435	0.00001288
8	3	4	0.00002829	0.00002497	0.00002647	0.00002559
8	3	8	0.00005760	0.00005485	0.00005272	0.00005731
8	3	16	0.00014044	0.00014571	0.00012556	0.00015536
8	3	32	0.00039211	0.00044223	0.00034162	0.00048267
8	3	64	0.00124810	0.00149941	0.00104736	0.00163749
8	3	128	0.00435294	0.00544106	0.00358633	0.00600379
8	4	2	0.00001612	0.00001331	0.00001505	0.00001348
8	4	4	0.00003023	0.00002613	0.00002790	0.00002685
8	4	8	0.00006558	0.00005925	0.00005844	0.00006288
8	4	16	0.00016604	0.00015778	0.00014232	0.00017180
8	4	32	0.00048340	0.00047877	0.00039169	0.00053454
8	4	64	0.00160140	0.00162961	0.00123338	0.00185948
8	4	128	0.00568182	0.00593360	0.00427747	0.00689193
8	5	2	0.00001771	0.00001463	0.00001670	0.00001510
8	5	4	0.00003454	0.00002822	0.00003124	0.00002961
8	5	8	0.00007756	0.00006387	0.00006668	0.00006949
8	5	16	0.00020005	0.00016667	0.00016153	0.00018771
8	5	32	0.00059322	0.00049402	0.00044536	0.00059160
8	5	64	0.00198828	0.00167638	0.00145799	0.00202369
8	5	128	0.00710921	0.00599274	0.00495397	0.00732276
8	6	2	0.00001827	0.00001507	0.00001740	0.00001558
8	6	4	0.00003719	0.00002912	0.00003295	0.00003076
8	6	8	0.00008602	0.00006545	0.00007139	0.00007242
8	6	16	0.00022733	0.00016405	0.00017207	0.00019319
8	6	32	0.00068738	0.00047638	0.00047646	0.00059814
8	6	64	0.00235089	0.00160363	0.00150604	0.00201400
8	6	128	0.00848497	0.00552483	0.00529796	0.00734240
8	7	2	0.00001861	0.00001515	0.00001736	0.00001553
8	7	4	0.00003898	0.00002953	0.00003425	0.00003173
8	7	8	0.00009498	0.00006392	0.00007595	0.00007382
8	7	16	0.00025507	0.00015424	0.00018123	0.00019326
8	7	32	0.00078622	0.00042547	0.00050148	0.00058249
