Bench mbasis, random prime p = 610672428373912909, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
2	1	2	0.00000387	0.00000325	0.00000338	0.00000324
2	1	4	0.00000690	0.00000610	0.00000615	0.00000628
2	1	8	0.00001436	0.00001334	0.00001262	0.00001399
2	1	16	0.00003445	0.00003374	0.00002915	0.00003636
2	1	32	0.00009095	0.00009451	0.00007356	0.00010345
2	1	64	0.00027281	0.00029782	0.00020839	0.00033359
2	1	128	0.00090952	0.00105692	0.00066731	0.00118062
4	1	2	0.00000600	0.00000512	0.00000542	0.00000512
4	1	4	0.00001007	0.00000893	0.00000898	0.00000910
4	1	8	0.00001957	0.00001904	0.00001753	0.00001960
4	1	16	0.00004312	0.00004653	0.00003814	0.00004879
4	1	32	0.00010773	0.00013111	0.00009441	0.00014069
4	1	64	0.00031127	0.00042560	0.00026303	0.00045386
4	1	128	0.00100038	0.00149042	0.00082864	0.00161960
4	2	2	0.00000686	0.00000579	0.00000622	0.00000580
4	2	4	0.00001263	0.00001095	0.00001138	0.00001134
4	2	8	0.00002649	0.00002420	0.00002340	0.00002548
4	2	16	0.00006305	0.00005955	0.00005408	0.00006542
4	2	32	0.00017131	0.00016973	0.00014132	0.00019160
4	2	64	0.00053465	0.00055040	0.00041628	0.00063614
4	2	128	0.00183473	0.00193830	0.00137602	0.00228690
4	3	2	0.00000794	0.00000666	0.00000728	0.00000682
4	3	4	0.00001528	0.00001265	0.00001374	0.00001347
4	3	8	0.00003373	0.00002768	0.00002930	0.00003062
4	3	16	0.00008358	0.00006694	0.00006869	0.00007753
4	3	32	0.00023408	0.00018424	0.00018046	0.00022616
4	3	64	0.00075582	0.00057717	0.00054316	0.00074382
4	3	128	0.00268112	0.00200193	0.00183570	0.00265502
8	1	2	0.00001358	0.00001168	0.00001277	0.00001175
8	1	4	0.00002235	0.00002016	0.00002076	0.00002044
8	1	8	0.00003965	0.00003930	0.00003714	0.00003985
8	1	16	0.00008351	0.00009443	0.00007803	0.00009634
8	1	32	0.00020132	0.00026376	0.00018835	0.00027196
8	1	64	0.00055325	0.00084152	0.00052164	0.00088983
8	1	128	0.00170607	0.00296903	0.00163377	0.00303797
8	2	2	0.00001444	0.00001233	0.00001361	0.00001239
8	2	4	0.00002477	0.00002202	0.00002331	0.00002224
8	2	8	0.00004911	0.00004843	0.00004510	0.00004946
8	2	16	0.00011256	0.00012411	0.00010250	0.00012868
8	2	32	0.00029881	0.00036696	0.00026917	0.00038518
8	2	64	0.00090399	0.00122697	0.00080725	0.00133698
8	2	128	0.00310257	0.00446186	0.00268296	0.00469575
8	3	2	0.00001546	0.00001292	0.00001445	0.00001301
8	3	4	0.00002900	0.00002524	0.00002674	0.00002578
8	3	8	0.00005941	0.00005553	0.00005331	0.00005789
8	3	16	0.00014462	0.00014721	0.00012978	0.00015625
8	3	32	0.00040178	0.00044272	0.00034125	0.00047805
8	3	64	0.00127481	0.00150118	0.00105040	0.00166644
8	3	128	0.00445946	0.00544880	0.00360705	0.00601892
8	4	2	0.00001642	0.00001338	0.00001525	0.00001358
8	4	4	0.00003097	0.00002633	0.00002815	0.00002719
8	4	8	0.00006800	0.00006039	0.00005969	0.00006361
8	4	16	0.00017150	0.00015982	0.00014308	0.00017337
8	4	32	0.00049447	0.00048317	0.00039589	0.00053747
8	4	64	0.00162931	0.00164636	0.00124428	0.00185020
8	4	128	0.00595264	0.00600976	0.00431763	0.00680361
8	5	2	0.00001803	0.00001479	0.00001690	0.00001519
8	5	4	0.00003506	0.00002841	0.00003146	0.00002977
8	5	8	0.00007946	0.00006460	0.00006736	0.00007064
8	5	16	0.00020520	0.00016752	0.00016361	0.00018899
8	5	32	0.00060481	0.00049703	0.00045138	0.00058378
8	5	64	0.00209842	0.00168311	0.00140494	0.00200502
8	5	128	0.00728426	0.00599191	0.00489017	0.00732882
8	6	2	0.00001866	0.00001592	0.00001729	0.00001551
8	6	4	0.00003806	0.00002945	0.00003324	0.00003094
8	6	8	0.00008823	0.00006612	0.00007217	0.00007293
8	6	16	0.00023290	0.00016539	0.00017340	0.00019433
8	6	32	0.00070739	0.00047875	0.00048652	0.00059361
8	6	64	0.00238209	0.00156565	0.00150697	0.00201180
8	6	128	0.00869763	0.00569288	0.00525583	0.00737486
8	7	2	0.00001898	0.00001524	0.00001747	0.00001564
8	7	4	0.00003987	0.00002991	0.00003461	0.00003212
8	7	8	0.00009681	0.00006452	0.00007609	0.00007447
8	7	16	0.00025982	0.00015544	0.00018253	0.00019440
8	7	32	0.00080598	0.00042626	0.00050324	0.00058199
8	7	64	0.00274566	0.00133348	0.00156155	0.00193439
8	7	128	0.01009536	0.00458719	0.00537309	0.00702648
16	1	2	0.00004349	0.00003872	0.00004296	0.00003870
16	1	4	0.00007611	0.00007075	0.00007500	0.00007091
16	1	8	0.00013413	0.00013401	0.00013314	0.00013443
16	1	16	0.00025343	0.00028552	0.00024859	0.00028966
16	1	32	0.00059259	0.00077086	0.00058012	0.00077851
16	1	64	0.00157496	0.00234804	0.00152895	0.00234715
16	1	128	0.00459130	0.00791606	0.00471811	0.00786418
16	2	2	0.00004562	0.00003991	0.00004417	0.00004009
16	2	4	0.00007840	0.00007246	0.00007615	0.00007219
16	2	8	0.00014226	0.00014348	0.00013800	0.00014563
16	2	16	0.00031566	0.00036323	0.00030239	0.00036870
16	2	32	0.00080235	0.00106134	0.00077156	0.00108267
16	2	64	0.00235425	0.00351810	0.00224931	0.00360023
16	2	128	0.00766866	0.01257906	0.00731257	0.01268840
16	3	2	0.00004639	0.00003990	0.00004468	0.00004013
16	3	4	0.00008114	0.00007324	0.00007760	0.00007349
16	3	8	0.00016679	0.00016728	0.00015801	0.00017005
16	3	16	0.00038107	0.00043644	0.00036107	0.00044732
16	3	32	0.00102501	0.00133824	0.00096000	0.00137185
16	3	64	0.00316303	0.00461154	0.00291218	0.00464070
16	3	128	0.01098987	0.01682629	0.00985967	0.01700205
16	4	2	0.00004818	0.00004078	0.00004609	0.00004093
