running ntx_linbox
first test with 20 1 0
Prime p = 665221  (bit length = 20)
Bench polynomial matrix multiplication
size	degree	ntlx	linbox	ratio(ntlx/linbox)
2	32	0.0000	0.0001	0.0961
2	64	0.0000	0.0002	0.0809
2	128	0.0000	0.0004	0.0803
2	256	0.0001	0.0008	0.0762
2	512	0.0001	0.0017	0.0772
2	1024	0.0003	0.0033	0.0873
2	2048	0.0006	0.0065	0.0982
2	4096	0.0014	0.0129	0.1053
2	8192	0.0026	0.0266	0.0986
2	16384	0.0056	0.0530	0.1047
2	32768	0.0119	0.1081	0.1103
2	131072	0.0630	0.4396	0.1432
4	32	0.0000	0.0001	0.2502
4	64	0.0001	0.0003	0.2426
4	128	0.0001	0.0005	0.2435
4	256	0.0003	0.0010	0.2419
4	512	0.0005	0.0021	0.2487
4	1024	0.0011	0.0041	0.2721
4	2048	0.0024	0.0085	0.2778
4	4096	0.0050	0.0175	0.2848
4	8192	0.0106	0.0363	0.2918
4	16384	0.0228	0.0721	0.3170
4	32768	0.0487	0.1552	0.3137
4	131072	0.2520	0.6559	0.3842
8	32	0.0001	0.0002	0.6379
8	64	0.0003	0.0004	0.6497
8	128	0.0006	0.0009	0.6060
8	256	0.0011	0.0019	0.6182
8	512	0.0024	0.0037	0.6399
8	1024	0.0050	0.0077	0.6529
8	2048	0.0106	0.0169	0.6256
8	4096	0.0226	0.0346	0.6532
8	8192	0.0482	0.0698	0.6902
8	16384	0.1025	0.1595	0.6427
8	32768	0.2297	0.3527	0.6513
8	131072	1.0982	1.4668	0.7487
16	32	0.0007	0.0006	1.1535
16	64	0.0014	0.0012	1.1345
16	128	0.0028	0.0026	1.0819
16	256	0.0058	0.0053	1.0788
16	512	0.0120	0.0120	0.9989
16	1024	0.0251	0.0257	0.9772
16	2048	0.0531	0.0542	0.9804
16	4096	0.1122	0.1215	0.9238
16	8192	0.2471	0.2590	0.9540
16	16384	0.5199	0.5428	0.9578
16	32768	1.1173	1.1410	0.9793
16	131072	10.9645	4.8869	2.2437
32	32	0.0016	0.0021	0.7367
32	64	0.0043	0.0043	1.0077
32	128	0.0126	0.0102	1.2380
32	256	0.0332	0.0229	1.4479
32	512	0.0688	0.0480	1.4343
32	1024	0.1422	0.1093	1.3004
32	2048	0.3039	0.2393	1.2698
32	4096	0.6277	0.4986	1.2589
32	8192	1.3384	0.9758	1.3717
32	16384	2.8806	2.0431	1.4099
32	32768	5.8929	4.2799	1.3769
64	32	0.0067	0.0094	0.7093
64	64	0.0182	0.0207	0.8804
64	128	0.0491	0.0452	1.0856
64	256	0.1943	0.1088	1.7860
64	512	0.4140	0.2213	1.8708
64	1024	0.8638	0.4632	1.8648
64	2048	1.8305	0.9410	1.9452
64	4096	3.8162	1.9460	1.9610
64	8192	7.8988	3.9158	2.0171
128	32	0.0356	0.0717	0.4965
128	64	0.1020	0.1122	0.9093
128	128	0.2599	0.2342	1.1099
